,START_PLACE_NAME,END_PLACE_NAME,parking_user
275,Ballston,Court House,0.0
276,Ballston,Crystal City,0.0
277,Ballston,Deanwood,0.0
278,Ballston,Dunn Loring,0.0
279,Ballston,Dupont Circle,0.0
280,Ballston,East Falls Church,0.0
281,Ballston,Eastern Market,0.0
282,Ballston,Eisenhower Avenue,0.0
283,Ballston,Farragut North,0.0
284,Ballston,Farragut West,0.0
285,Ballston,Federal Center SW,0.0
286,Ballston,Federal Triangle,0.0
287,Ballston,Foggy Bottom,0.0
288,Ballston,Forest Glen,0.0
289,Ballston,Fort Totten,0.0
290,Ballston,Franconia-Springfield,0.0
291,Ballston,Friendship Heights,0.0
292,Ballston,Gallery Place-Chinatown,0.0
293,Ballston,Georgia Avenue-Petworth,0.0
294,Ballston,Glenmont,0.0
295,Ballston,Greenbelt,0.0
296,Ballston,Greensboro,0.0
297,Ballston,Grosvenor,0.0
298,Ballston,Huntington,0.0
299,Ballston,Judiciary Square,0.0
300,Ballston,King Street,0.0
301,Ballston,L'Enfant Plaza,0.0
302,Ballston,Landover,0.0
303,Ballston,Largo Town Center,0.0
304,Ballston,McLean,0.0
305,Ballston,McPherson Square,0.0
306,Ballston,Medical Center,0.0
307,Ballston,Metro Center,0.0
308,Ballston,Minnesota Avenue,0.0
