,station_name_o,lat_o,lon_o,station_name_d,lat_d,lon_d,google_driving_minutes,google_driving_miles
7974,Tysons Corner,38.920100000000005,-77.22238,Benning Road,38.89054,-76.93736000000001,34.82,22.19
8070,U Street,38.91677,-77.02809,Benning Road,38.89054,-76.93736000000001,27.63,6.02
8166,Union Station,38.898270000000004,-77.00726,Benning Road,38.89054,-76.93736000000001,19.88,4.34
8262,Van Dorn Street,38.79965,-77.12948,Benning Road,38.89054,-76.93736000000001,25.43,17.14
8358,Van Ness-UDC,38.9444,-77.06364,Benning Road,38.89054,-76.93736000000001,31.48,13.41
8454,Vienna,38.87798,-77.27145,Benning Road,38.89054,-76.93736000000001,38.63,28.43
8550,Virginia Sq-GMU,38.88298,-77.10312,Benning Road,38.89054,-76.93736000000001,25.05,12.35
8646,Waterfront,38.87679,-77.01773,Benning Road,38.89054,-76.93736000000001,17.15,7.33
8742,West Falls Church,38.90052,-77.18892000000001,Benning Road,38.89054,-76.93736000000001,28.15,19.05
8838,West Hyattsville,38.95544,-76.96896000000001,Benning Road,38.89054,-76.93736000000001,23.58,7.12
8934,Wheaton,39.03848,-77.05074,Benning Road,38.89054,-76.93736000000001,29.8,19.68
9030,White Flint,39.047290000000004,-77.11246000000001,Benning Road,38.89054,-76.93736000000001,34.7,23.66
9126,Wiehle-Reston East,38.94745,-77.33962000000001,Benning Road,38.89054,-76.93736000000001,37.73,29.07
9222,Woodley Park,38.92486,-77.05249,Benning Road,38.89054,-76.93736000000001,25.82,11.81
6,Addison Road,38.887060000000005,-76.89581000000001,Bethesda,38.984320000000004,-77.09441000000001,35.6,24.38
102,Anacostia,38.86278,-76.99563,Bethesda,38.984320000000004,-77.09441000000001,36.37,25.82
198,Archives,38.893890000000006,-77.02193000000001,Bethesda,38.984320000000004,-77.09441000000001,38.33,8.94
294,Arlington Cemetery,38.88449000000001,-77.06338000000001,Bethesda,38.984320000000004,-77.09441000000001,32.25,9.55
390,Ashburn,39.00457,-77.49112000000001,Bethesda,38.984320000000004,-77.09441000000001,36.35,29.16
486,Ballston-MU,38.882160000000006,-77.1118,Bethesda,38.984320000000004,-77.09441000000001,33.72,10.13
582,Benning Road,38.89054,-76.93736000000001,Bethesda,38.984320000000004,-77.09441000000001,51.63,17.22
775,Braddock Road,38.813680000000005,-77.05372000000001,Bethesda,38.984320000000004,-77.09441000000001,45.05,31.8
871,Branch Ave,38.82733,-76.91238000000001,Bethesda,38.984320000000004,-77.09441000000001,40.62,30.61
967,Brookland-CUA,38.93381,-76.99472,Bethesda,38.984320000000004,-77.09441000000001,30.32,8.44
1063,Capitol Heights,38.889120000000005,-76.91312,Bethesda,38.984320000000004,-77.09441000000001,53.23,17.76
1159,Capitol South,38.88542,-77.00587,Bethesda,38.984320000000004,-77.09441000000001,39.95,13.46
1255,Cheverly,38.9161,-76.91653000000001,Bethesda,38.984320000000004,-77.09441000000001,45.3,13.26
1351,Clarendon,38.88709,-77.09548000000001,Bethesda,38.984320000000004,-77.09441000000001,34.17,10.63
1447,Cleveland Park,38.93594,-77.05872000000001,Bethesda,38.984320000000004,-77.09441000000001,17.97,4.82
1543,College Park-U of Md,38.97814,-76.92890000000001,Bethesda,38.984320000000004,-77.09441000000001,39.3,10.87
1639,Columbia Heights,38.928790000000006,-77.03280000000001,Bethesda,38.984320000000004,-77.09441000000001,26.9,6.48
1735,Congress Heights,38.84503,-76.98772000000001,Bethesda,38.984320000000004,-77.09441000000001,42.07,28.26
1831,Court House,38.890730000000005,-77.0853,Bethesda,38.984320000000004,-77.09441000000001,33.47,8.51
1927,Crystal City,38.85801,-77.05118,Bethesda,38.984320000000004,-77.09441000000001,33.95,10.48
2023,Deanwood,38.908150000000006,-76.93467000000001,Bethesda,38.984320000000004,-77.09441000000001,48.02,15.86
2119,Dulles Airport,38.95593,-77.44778000000001,Bethesda,38.984320000000004,-77.09441000000001,36.07,26.49
2215,Dunn Loring,38.88295,-77.22851,Bethesda,38.984320000000004,-77.09441000000001,23.67,15.87
2311,Dupont Circle,38.910070000000005,-77.04407,Bethesda,38.984320000000004,-77.09441000000001,26.53,6.67
2407,East Falls Church,38.88589,-77.15638000000001,Bethesda,38.984320000000004,-77.09441000000001,27.87,16.89
2503,Eastern Market,38.88440000000001,-76.99576,Bethesda,38.984320000000004,-77.09441000000001,38.83,25.45
2599,Eisenhower Ave,38.80075,-77.07092,Bethesda,38.984320000000004,-77.09441000000001,41.25,29.78
2695,Farragut North,38.903290000000005,-77.03965000000001,Bethesda,38.984320000000004,-77.09441000000001,28.7,7.32
2791,Farragut West,38.901340000000005,-77.04127000000001,Bethesda,38.984320000000004,-77.09441000000001,30.85,7.57
2887,Federal Center SW,38.88506,-77.01572,Bethesda,38.984320000000004,-77.09441000000001,37.05,12.6
2983,Federal Triangle,38.89379,-77.02814000000001,Bethesda,38.984320000000004,-77.09441000000001,36.68,8.82
3079,Foggy Bottom-GWU,38.90084,-77.05012,Bethesda,38.984320000000004,-77.09441000000001,31.52,7.17
3175,Forest Glen,39.01561,-77.04403,Bethesda,38.984320000000004,-77.09441000000001,14.67,4.4
3271,Fort Totten,38.952510000000004,-77.00245000000001,Bethesda,38.984320000000004,-77.09441000000001,26.37,7.13
3367,Franconia-Springfield,38.76697,-77.16902,Bethesda,38.984320000000004,-77.09441000000001,37.95,25.53
3463,Friendship Heights,38.960440000000006,-77.08556,Bethesda,38.984320000000004,-77.09441000000001,9.52,1.9
3559,Gallery Place,38.898450000000004,-77.02218,Bethesda,38.984320000000004,-77.09441000000001,37.18,8.6
3655,Georgia Ave-Petworth,38.93699,-77.02439000000001,Bethesda,38.984320000000004,-77.09441000000001,25.55,7.2
3751,Glenmont,39.0621,-77.05340000000001,Bethesda,38.984320000000004,-77.09441000000001,22.7,7.59
3847,Greenbelt,39.010670000000005,-76.91120000000001,Bethesda,38.984320000000004,-77.09441000000001,20.93,13.01
3943,Greensboro,38.920840000000005,-77.23353,Bethesda,38.984320000000004,-77.09441000000001,25.13,15.18
4039,Grosvenor-Strathmore,39.02879,-77.10406,Bethesda,38.984320000000004,-77.09441000000001,13.57,3.66
4135,Herndon,38.95248,-77.38474000000001,Bethesda,38.984320000000004,-77.09441000000001,29.45,22.1
4231,Huntington,38.79402,-77.07654000000001,Bethesda,38.984320000000004,-77.09441000000001,40.1,29.65
4327,Innovation Center,38.960620000000006,-77.41708000000001,Bethesda,38.984320000000004,-77.09441000000001,35.62,24.88
4423,Judiciary Square,38.896150000000006,-77.01731000000001,Bethesda,38.984320000000004,-77.09441000000001,38.73,8.96
4519,King St-Old Town,38.806810000000006,-77.06060000000001,Bethesda,38.984320000000004,-77.09441000000001,39.83,29.97
4615,L'Enfant Plaza,38.885290000000005,-77.02198,Bethesda,38.984320000000004,-77.09441000000001,35.98,10.65
4711,Landover,38.93345,-76.89121,Bethesda,38.984320000000004,-77.09441000000001,47.97,14.5
4807,Largo Town Center,38.899770000000004,-76.84511,Bethesda,38.984320000000004,-77.09441000000001,31.25,21.19
4903,Loudoun Gateway,38.992990000000006,-77.45981,Bethesda,38.984320000000004,-77.09441000000001,38.27,28.68
4999,McLean,38.92472,-77.20904,Bethesda,38.984320000000004,-77.09441000000001,21.08,12.93
5095,McPherson Sq,38.901340000000005,-77.03295,Bethesda,38.984320000000004,-77.09441000000001,32.05,7.8
5191,Medical Center,38.99886,-77.09748,Bethesda,38.984320000000004,-77.09441000000001,6.23,1.07
5287,Metro Center,38.898320000000005,-77.02811000000001,Bethesda,38.984320000000004,-77.09441000000001,35.68,8.43
5383,Minnesota Ave,38.89882,-76.94640000000001,Bethesda,38.984320000000004,-77.09441000000001,47.25,16.5
5479,Morgan Boulevard,38.89403,-76.86868000000001,Bethesda,38.984320000000004,-77.09441000000001,34.02,23.14
5575,Mt Vernon Sq,38.905640000000005,-77.02224000000001,Bethesda,38.984320000000004,-77.09441000000001,35.05,8.34
5671,Navy Yard-Ballpark,38.87644,-77.00551,Bethesda,38.984320000000004,-77.09441000000001,39.67,13.41
5767,Naylor Road,38.85085,-76.95661000000001,Bethesda,38.984320000000004,-77.09441000000001,41.95,32.09
5863,New Carrollton,38.94852,-76.87245,Bethesda,38.984320000000004,-77.09441000000001,28.82,17.62
5959,NoMa-Gallaudet U,38.907230000000006,-77.00372,Bethesda,38.984320000000004,-77.09441000000001,38.1,10.59
6055,Pentagon,38.8684,-77.05361,Bethesda,38.984320000000004,-77.09441000000001,35.62,10.24
6151,Pentagon City,38.862790000000004,-77.05932,Bethesda,38.984320000000004,-77.09441000000001,38.37,10.93
6247,Potomac Ave,38.88092,-76.98537,Bethesda,38.984320000000004,-77.09441000000001,37.5,24.98
6343,Prince George's Plaza,38.96508,-76.95559,Bethesda,38.984320000000004,-77.09441000000001,32.12,8.67
6439,Reston Town Center,38.952980000000004,-77.3605,Bethesda,38.984320000000004,-77.09441000000001,38.6,30.52
6535,Rhode Island Ave,38.92045,-76.99589,Bethesda,38.984320000000004,-77.09441000000001,37.35,10.37
6631,Rockville,39.08437,-77.14697000000001,Bethesda,38.984320000000004,-77.09441000000001,21.68,9.62
6727,Ronald Reagan Washington National Airport,38.853390000000005,-77.04441000000001,Bethesda,38.984320000000004,-77.09441000000001,36.18,12.07
6823,Rosslyn,38.895970000000005,-77.07155,Bethesda,38.984320000000004,-77.09441000000001,32.87,7.72
6919,Shady Grove,39.119980000000005,-77.16516,Bethesda,38.984320000000004,-77.09441000000001,23.93,14.5
7015,Shaw-Howard U,38.91386,-77.02193000000001,Bethesda,38.984320000000004,-77.09441000000001,34.88,7.94
7111,Silver Spring,38.99396,-77.03148,Bethesda,38.984320000000004,-77.09441000000001,16.23,4.17
7207,Smithsonian,38.88801,-77.02850000000001,Bethesda,38.984320000000004,-77.09441000000001,35.4,10.04
7303,Southern Ave,38.84035,-76.97566,Bethesda,38.984320000000004,-77.09441000000001,45.57,29.82
7399,Spring Hill,38.928900000000006,-77.24123,Bethesda,38.984320000000004,-77.09441000000001,23.02,14.49
7495,Stadium-Armory,38.88662,-76.97726,Bethesda,38.984320000000004,-77.09441000000001,33.42,23.81
7591,Suitland,38.84427,-76.93213,Bethesda,38.984320000000004,-77.09441000000001,39.78,30.51
7687,Takoma,38.975530000000006,-77.01709000000001,Bethesda,38.984320000000004,-77.09441000000001,19.6,5.37
7783,Tenleytown-AU,38.94809,-77.07979,Bethesda,38.984320000000004,-77.09441000000001,13.13,2.81
7879,Twinbrook,39.062200000000004,-77.12095000000001,Bethesda,38.984320000000004,-77.09441000000001,20.72,5.93
7975,Tysons Corner,38.920100000000005,-77.22238,Bethesda,38.984320000000004,-77.09441000000001,21.77,13.46
8071,U Street,38.91677,-77.02809,Bethesda,38.984320000000004,-77.09441000000001,30.67,7.4
8167,Union Station,38.898270000000004,-77.00726,Bethesda,38.984320000000004,-77.09441000000001,42.2,8.98
8263,Van Dorn Street,38.79965,-77.12948,Bethesda,38.984320000000004,-77.09441000000001,35.93,26.39
8359,Van Ness-UDC,38.9444,-77.06364,Bethesda,38.984320000000004,-77.09441000000001,15.52,4.17
8455,Vienna,38.87798,-77.27145,Bethesda,38.984320000000004,-77.09441000000001,31.72,22.78
8551,Virginia Sq-GMU,38.88298,-77.10312,Bethesda,38.984320000000004,-77.09441000000001,34.03,10.09
8647,Waterfront,38.87679,-77.01773,Bethesda,38.984320000000004,-77.09441000000001,38.43,10.92
8743,West Falls Church,38.90052,-77.18892000000001,Bethesda,38.984320000000004,-77.09441000000001,26.95,18.06
8839,West Hyattsville,38.95544,-76.96896000000001,Bethesda,38.984320000000004,-77.09441000000001,32.57,8.69
8935,Wheaton,39.03848,-77.05074,Bethesda,38.984320000000004,-77.09441000000001,19.68,5.81
9031,White Flint,39.047290000000004,-77.11246000000001,Bethesda,38.984320000000004,-77.09441000000001,15.37,4.55
9127,Wiehle-Reston East,38.94745,-77.33962000000001,Bethesda,38.984320000000004,-77.09441000000001,27.07,19.63
9223,Woodley Park,38.92486,-77.05249,Bethesda,38.984320000000004,-77.09441000000001,23.23,6.25
7,Addison Road,38.887060000000005,-76.89581000000001,Braddock Road,38.813680000000005,-77.05372000000001,29.0,19.46
103,Anacostia,38.86278,-76.99563,Braddock Road,38.813680000000005,-77.05372000000001,17.23,9.1
199,Archives,38.893890000000006,-77.02193000000001,Braddock Road,38.813680000000005,-77.05372000000001,14.5,7.21
295,Arlington Cemetery,38.88449000000001,-77.06338000000001,Braddock Road,38.813680000000005,-77.05372000000001,12.43,6.77
391,Ashburn,39.00457,-77.49112000000001,Braddock Road,38.813680000000005,-77.05372000000001,39.88,35.01
487,Ballston-MU,38.882160000000006,-77.1118,Braddock Road,38.813680000000005,-77.05372000000001,23.08,7.32
583,Benning Road,38.89054,-76.93736000000001,Braddock Road,38.813680000000005,-77.05372000000001,27.33,15.0
679,Bethesda,38.984320000000004,-77.09441000000001,Braddock Road,38.813680000000005,-77.05372000000001,39.27,14.96
872,Branch Ave,38.8273,-76.91234,Braddock Road,38.813680000000005,-77.05372000000001,19.33,10.6
968,Brookland-CUA,38.93381,-76.99472,Braddock Road,38.813680000000005,-77.05372000000001,26.2,11.18
1064,Capitol Heights,38.889120000000005,-76.91312,Braddock Road,38.813680000000005,-77.05372000000001,29.18,15.5
1160,Capitol South,38.88542,-77.00587,Braddock Road,38.813680000000005,-77.05372000000001,16.23,8.06
1256,Cheverly,38.9161,-76.91653000000001,Braddock Road,38.813680000000005,-77.05372000000001,26.58,15.01
1352,Clarendon,38.88709,-77.09548000000001,Braddock Road,38.813680000000005,-77.05372000000001,17.57,8.54
1448,Cleveland Park,38.93594,-77.05872000000001,Braddock Road,38.813680000000005,-77.05372000000001,22.88,11.14
1544,College Park-U of Md,38.97814,-76.92890000000001,Braddock Road,38.813680000000005,-77.05372000000001,38.25,18.54
1640,Columbia Heights,38.928790000000006,-77.03280000000001,Braddock Road,38.813680000000005,-77.05372000000001,28.53,9.11
1736,Congress Heights,38.84503,-76.98772000000001,Braddock Road,38.813680000000005,-77.05372000000001,20.17,8.64
1832,Court House,38.89072,-77.08524000000001,Braddock Road,38.813680000000005,-77.05372000000001,14.93,7.95
1928,Crystal City,38.85801,-77.05118,Braddock Road,38.813680000000005,-77.05372000000001,13.13,3.3
2024,Deanwood,38.908150000000006,-76.93467000000001,Braddock Road,38.813680000000005,-77.05372000000001,27.98,14.44
2120,Dulles Airport,38.95593,-77.44778000000001,Braddock Road,38.813680000000005,-77.05372000000001,39.43,32.33
2216,Dunn Loring,38.88295,-77.22851,Braddock Road,38.813680000000005,-77.05372000000001,22.77,17.15
2312,Dupont Circle,38.910070000000005,-77.04407,Braddock Road,38.813680000000005,-77.05372000000001,20.37,9.18
2408,East Falls Church,38.88589,-77.15638000000001,Braddock Road,38.813680000000005,-77.05372000000001,19.85,12.67
2504,Eastern Market,38.88440000000001,-76.99576,Braddock Road,38.813680000000005,-77.05372000000001,16.77,8.69
2600,Eisenhower Ave,38.80075,-77.07092,Braddock Road,38.813680000000005,-77.05372000000001,10.3,1.94
2696,Farragut North,38.903290000000005,-77.03965000000001,Braddock Road,38.813680000000005,-77.05372000000001,20.33,7.82
2792,Farragut West,38.901340000000005,-77.04127000000001,Braddock Road,38.813680000000005,-77.05372000000001,19.55,8.34
2888,Federal Center SW,38.88506,-77.01572,Braddock Road,38.813680000000005,-77.05372000000001,13.33,7.21
2984,Federal Triangle,38.89379,-77.02814000000001,Braddock Road,38.813680000000005,-77.05372000000001,14.72,7.31
3080,Foggy Bottom-GWU,38.900780000000005,-77.05012,Braddock Road,38.813680000000005,-77.05372000000001,16.28,7.82
3176,Forest Glen,39.015530000000005,-77.04398,Braddock Road,38.813680000000005,-77.05372000000001,37.1,27.18
3272,Fort Totten,38.952510000000004,-77.00245000000001,Braddock Road,38.813680000000005,-77.05372000000001,31.52,12.8
3368,Franconia-Springfield,38.76697,-77.16902,Braddock Road,38.813680000000005,-77.05372000000001,21.68,11.01
3464,Friendship Heights,38.960440000000006,-77.08556,Braddock Road,38.813680000000005,-77.05372000000001,31.9,13.32
3560,Gallery Place,38.898450000000004,-77.02218,Braddock Road,38.813680000000005,-77.05372000000001,16.5,7.51
3656,Georgia Ave-Petworth,38.93699,-77.02439000000001,Braddock Road,38.813680000000005,-77.05372000000001,29.7,10.13
3752,Glenmont,39.0621,-77.05340000000001,Braddock Road,38.813680000000005,-77.05372000000001,48.12,30.13
3848,Greenbelt,39.010670000000005,-76.91120000000001,Braddock Road,38.813680000000005,-77.05372000000001,37.28,29.73
3944,Greensboro,38.920840000000005,-77.23353,Braddock Road,38.813680000000005,-77.05372000000001,28.67,21.03
4040,Grosvenor-Strathmore,39.02879,-77.10406,Braddock Road,38.813680000000005,-77.05372000000001,38.45,25.3
