"A202100 - Total Workers (1) (Workers 16 years and over)"
"Current date: 1/11/2024 1:34:33 PM (Eastern Standard Time)"
"WORKPLACE","Output","Workers 16 and Over",
"TAZ 00010194, District of Columbia, District of Columbia","Estimate","2,300"
"TAZ 00010194, District of Columbia, District of Columbia","Margin of Error","347"
"TAZ 00010195, District of Columbia, District of Columbia","Estimate","480"
"TAZ 00010195, District of Columbia, District of Columbia","Margin of Error","136"
"TAZ 00010196, District of Columbia, District of Columbia","Estimate","715"
"TAZ 00010196, District of Columbia, District of Columbia","Margin of Error","192"
"TAZ 00010198, District of Columbia, District of Columbia","Estimate","1,465"
"TAZ 00010198, District of Columbia, District of Columbia","Margin of Error","267"
"TAZ 00010200, District of Columbia, District of Columbia","Estimate","4,990"
"TAZ 00010200, District of Columbia, District of Columbia","Margin of Error","460"
"TAZ 00010210, District of Columbia, District of Columbia","Estimate","385"
"TAZ 00010210, District of Columbia, District of Columbia","Margin of Error","93"
"TAZ 00010211, District of Columbia, District of Columbia","Estimate","730"
"TAZ 00010211, District of Columbia, District of Columbia","Margin of Error","179"
"TAZ 00010212, District of Columbia, District of Columbia","Estimate","505"
"TAZ 00010212, District of Columbia, District of Columbia","Margin of Error","119"
"TAZ 00010213, District of Columbia, District of Columbia","Estimate","1,750"
"TAZ 00010213, District of Columbia, District of Columbia","Margin of Error","286"
"TAZ 00010219, District of Columbia, District of Columbia","Estimate","735"
"TAZ 00010219, District of Columbia, District of Columbia","Margin of Error","171"
"TAZ 00010222, District of Columbia, District of Columbia","Estimate","320"
"TAZ 00010222, District of Columbia, District of Columbia","Margin of Error","112"
"TAZ 00010223, District of Columbia, District of Columbia","Estimate","12,830"
"TAZ 00010223, District of Columbia, District of Columbia","Margin of Error","751"
"TAZ 00010224, District of Columbia, District of Columbia","Estimate","660"
"TAZ 00010224, District of Columbia, District of Columbia","Margin of Error","163"
"TAZ 00010225, District of Columbia, District of Columbia","Estimate","365"
"TAZ 00010225, District of Columbia, District of Columbia","Margin of Error","118"
"TAZ 00010226, District of Columbia, District of Columbia","Estimate","2,270"
"TAZ 00010226, District of Columbia, District of Columbia","Margin of Error","331"
"TAZ 00010228, District of Columbia, District of Columbia","Estimate","1,955"
"TAZ 00010228, District of Columbia, District of Columbia","Margin of Error","294"
"TAZ 00010230, District of Columbia, District of Columbia","Estimate","395"
"TAZ 00010230, District of Columbia, District of Columbia","Margin of Error","147"
"TAZ 00010233, District of Columbia, District of Columbia","Estimate","440"
"TAZ 00010233, District of Columbia, District of Columbia","Margin of Error","181"
"TAZ 00010236, District of Columbia, District of Columbia","Estimate","165"
"TAZ 00010236, District of Columbia, District of Columbia","Margin of Error","105"
"TAZ 00010237, District of Columbia, District of Columbia","Estimate","335"
"TAZ 00010237, District of Columbia, District of Columbia","Margin of Error","93"
"TAZ 00010244, District of Columbia, District of Columbia","Estimate","425"
"TAZ 00010244, District of Columbia, District of Columbia","Margin of Error","130"
"TAZ 00010245, District of Columbia, District of Columbia","Estimate","255"
"TAZ 00010245, District of Columbia, District of Columbia","Margin of Error","99"
"TAZ 00010249, District of Columbia, District of Columbia","Estimate","260"
"TAZ 00010249, District of Columbia, District of Columbia","Margin of Error","95"
"TAZ 00010255, District of Columbia, District of Columbia","Estimate","330"
"TAZ 00010255, District of Columbia, District of Columbia","Margin of Error","113"
"TAZ 00010256, District of Columbia, District of Columbia","Estimate","165"
"TAZ 00010256, District of Columbia, District of Columbia","Margin of Error","82"
"TAZ 00010257, District of Columbia, District of Columbia","Estimate","975"
"TAZ 00010257, District of Columbia, District of Columbia","Margin of Error","251"
"TAZ 00010259, District of Columbia, District of Columbia","Estimate","265"
